2022-03-14 20:31:28,792 INFO [root] [base.py (__init__:__init__:12)]-inint driver<selenium.webdriver.chrome.webdriver.WebDriver (session="32699ff9405ec80e50db585e5eaf580c")>
2022-03-14 20:31:28,917 INFO [root] [base.py (__init__:__init__:14)]-max window<selenium.webdriver.chrome.webdriver.WebDriver (session="32699ff9405ec80e50db585e5eaf580c")>
2022-03-14 20:31:30,288 INFO [root] [base.py (__init__:__init__:16)]-open url
2022-03-14 20:31:30,292 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simpleClearAllBtn')
2022-03-14 20:31:30,292 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simpleClearAllBtn')
2022-03-14 20:31:30,334 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simple1')
2022-03-14 20:31:30,334 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simple1')
2022-03-14 20:31:30,376 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simpleAdd')
2022-03-14 20:31:30,376 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simpleAdd')
2022-03-14 20:31:30,416 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simple1')
2022-03-14 20:31:30,416 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simple1')
2022-03-14 20:31:30,437 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simpleEqual')
2022-03-14 20:31:30,437 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simpleEqual')
2022-03-14 20:31:30,476 INFO [root] [base.py (base_get_value:base_get_value:35)]-get inputElement('css selector', '#resultIpt') value
2022-03-14 20:31:30,477 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#resultIpt')
2022-03-14 20:31:30,491 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simpleClearAllBtn')
2022-03-14 20:31:30,491 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simpleClearAllBtn')
2022-03-14 20:31:30,518 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simple1')
2022-03-14 20:31:30,518 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simple1')
2022-03-14 20:31:30,548 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simple0')
2022-03-14 20:31:30,549 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simple0')
