2022-03-15 19:05:35,503 INFO [root] [base.py (__init__:__init__:13)]-inint driver<selenium.webdriver.chrome.webdriver.WebDriver (session="b9b60ce6bd9ff72306e0d46d67f7f9d6")>
2022-03-15 19:05:35,618 INFO [root] [base.py (__init__:__init__:15)]-max window<selenium.webdriver.chrome.webdriver.WebDriver (session="b9b60ce6bd9ff72306e0d46d67f7f9d6")>
2022-03-15 19:05:37,099 INFO [root] [base.py (__init__:__init__:17)]-open url
2022-03-15 19:05:37,103 INFO [root] [base.py (base_click:base_click:30)]-click element('css selector', '#simpleClearAllBtn')
2022-03-15 19:05:37,103 INFO [root] [base.py (base_find:base_find:23)]-find element('css selector', '#simpleClearAllBtn')
2022-03-15 19:05:37,153 INFO [root] [base.py (base_click:base_click:30)]-click element('css selector', '#simple1')
2022-03-15 19:05:37,154 INFO [root] [base.py (base_find:base_find:23)]-find element('css selector', '#simple1')
2022-03-15 19:05:37,187 INFO [root] [base.py (base_click:base_click:30)]-click element('css selector', '#simpleAdd')
2022-03-15 19:05:37,187 INFO [root] [base.py (base_find:base_find:23)]-find element('css selector', '#simpleAdd')
2022-03-15 19:05:37,228 INFO [root] [base.py (base_click:base_click:30)]-click element('css selector', '#simple1')
2022-03-15 19:05:37,228 INFO [root] [base.py (base_find:base_find:23)]-find element('css selector', '#simple1')
2022-03-15 19:05:37,251 INFO [root] [base.py (base_click:base_click:30)]-click element('css selector', '#simpleEqual')
2022-03-15 19:05:37,251 INFO [root] [base.py (base_find:base_find:23)]-find element('css selector', '#simpleEqual')
2022-03-15 19:05:37,295 INFO [root] [base.py (base_get_value:base_get_value:36)]-get inputElement('css selector', '#resultIpt') value
2022-03-15 19:05:37,295 INFO [root] [base.py (base_find:base_find:23)]-find element('css selector', '#resultIpt')
2022-03-15 19:05:37,312 INFO [root] [base.py (base_click:base_click:30)]-click element('css selector', '#simpleClearAllBtn')
2022-03-15 19:05:37,312 INFO [root] [base.py (base_find:base_find:23)]-find element('css selector', '#simpleClearAllBtn')
2022-03-15 19:05:37,340 INFO [root] [base.py (base_click:base_click:30)]-click element('css selector', '#simple1')
2022-03-15 19:05:37,340 INFO [root] [base.py (base_find:base_find:23)]-find element('css selector', '#simple1')
2022-03-15 19:05:37,366 INFO [root] [base.py (base_click:base_click:30)]-click element('css selector', '#simple0')
2022-03-15 19:05:37,366 INFO [root] [base.py (base_find:base_find:23)]-find element('css selector', '#simple0')
2022-03-15 19:05:37,407 INFO [root] [base.py (base_click:base_click:30)]-click element('css selector', '#simpleAdd')
2022-03-15 19:05:37,407 INFO [root] [base.py (base_find:base_find:23)]-find element('css selector', '#simpleAdd')
2022-03-15 19:05:37,432 INFO [root] [base.py (base_click:base_click:30)]-click element('css selector', '#simple0')
2022-03-15 19:05:37,432 INFO [root] [base.py (base_find:base_find:23)]-find element('css selector', '#simple0')
2022-03-15 19:05:37,456 INFO [root] [base.py (base_click:base_click:30)]-click element('css selector', '#simpleEqual')
2022-03-15 19:05:37,457 INFO [root] [base.py (base_find:base_find:23)]-find element('css selector', '#simpleEqual')
2022-03-15 19:05:37,485 INFO [root] [base.py (base_get_value:base_get_value:36)]-get inputElement('css selector', '#resultIpt') value
2022-03-15 19:05:37,485 INFO [root] [base.py (base_find:base_find:23)]-find element('css selector', '#resultIpt')
2022-03-15 19:05:37,497 INFO [root] [base.py (base_click:base_click:30)]-click element('css selector', '#simpleClearAllBtn')
2022-03-15 19:05:37,497 INFO [root] [base.py (base_find:base_find:23)]-find element('css selector', '#simpleClearAllBtn')
2022-03-15 19:05:37,524 INFO [root] [base.py (base_click:base_click:30)]-click element('css selector', '#simple1')
2022-03-15 19:05:37,525 INFO [root] [base.py (base_find:base_find:23)]-find element('css selector', '#simple1')
2022-03-15 19:05:37,549 INFO [root] [base.py (base_click:base_click:30)]-click element('css selector', '#simple1')
2022-03-15 19:05:37,549 INFO [root] [base.py (base_find:base_find:23)]-find element('css selector', '#simple1')
2022-03-15 19:05:37,574 INFO [root] [base.py (base_click:base_click:30)]-click element('css selector', '#simple1')
2022-03-15 19:05:37,574 INFO [root] [base.py (base_find:base_find:23)]-find element('css selector', '#simple1')
2022-03-15 19:05:37,597 INFO [root] [base.py (base_click:base_click:30)]-click element('css selector', '#simple2')
2022-03-15 19:05:37,597 INFO [root] [base.py (base_find:base_find:23)]-find element('css selector', '#simple2')
2022-03-15 19:05:37,635 INFO [root] [base.py (base_click:base_click:30)]-click element('css selector', '#simple3')
2022-03-15 19:05:37,635 INFO [root] [base.py (base_find:base_find:23)]-find element('css selector', '#simple3')
2022-03-15 19:05:37,674 INFO [root] [base.py (base_click:base_click:30)]-click element('css selector', '#simple1')
2022-03-15 19:05:37,674 INFO [root] [base.py (base_find:base_find:23)]-find element('css selector', '#simple1')
2022-03-15 19:05:37,702 INFO [root] [base.py (base_click:base_click:30)]-click element('css selector', '#simple2')
2022-03-15 19:05:37,702 INFO [root] [base.py (base_find:base_find:23)]-find element('css selector', '#simple2')
2022-03-15 19:05:37,725 INFO [root] [base.py (base_click:base_click:30)]-click element('css selector', '#simple3')
2022-03-15 19:05:37,725 INFO [root] [base.py (base_find:base_find:23)]-find element('css selector', '#simple3')
2022-03-15 19:05:37,749 INFO [root] [base.py (base_click:base_click:30)]-click element('css selector', '#simpleAdd')
2022-03-15 19:05:37,749 INFO [root] [base.py (base_find:base_find:23)]-find element('css selector', '#simpleAdd')
2022-03-15 19:05:37,772 INFO [root] [base.py (base_click:base_click:30)]-click element('css selector', '#simple1')
2022-03-15 19:05:37,772 INFO [root] [base.py (base_find:base_find:23)]-find element('css selector', '#simple1')
2022-03-15 19:05:37,797 INFO [root] [base.py (base_click:base_click:30)]-click element('css selector', '#simpleEqual')
2022-03-15 19:05:37,797 INFO [root] [base.py (base_find:base_find:23)]-find element('css selector', '#simpleEqual')
